BookID,Title,Authors,Score,ISBN,ISBN13,Language,Num_Pages,Ratings_Count,Text_Reviews_Count,Publication_Date,Publisher,Type
16114,A Dance to the Music of Time: 3rd Movement (A Dance to the Music of Time  #7-9),Anthony Powell,4.26,0226677176,9780226677170,eng,715,1289,83,1995-05-31,University of Chicago Press,Book
16115,A Dance to the Music of Time: 2nd Movement (A Dance to the Music of Time  #4-6),Anthony Powell,4.29,0226677168,9780226677163,eng,722,1237,87,1995-06-15,University of Chicago Press,Book
16121,Titan: The Life of John D. Rockefeller  Sr.,Ron Chernow,4.2,1400077303,9781400077304,eng,832,15971,812,2004-03-30,Vintage,Book
16130,Alexander Hamilton,Ron Chernow,4.23,0143034758,9780143034759,eng,818,97099,6149,2005-03-29,Penguin Books,Book
16131,The House of Morgan: An American Banking Dynasty and the Rise of Modern Finance,Ron Chernow,4.07,0802138292,9780802138293,eng,812,5110,281,2001-09-20,Grove Press,Book
16148,Empire of the Senseless,Kathy Acker,3.49,0802131794,9780802131799,eng,240,1487,78,1994-01-13,Grove Press,Book
16172,Desert Queen: The Extraordinary Life of Gertrude Bell: Adventurer  Adviser to Kings  Ally of Lawrence of Arabia,Janet Wallach,3.92,1400096197,9781400096190,eng,464,2944,499,2005-07-12,Anchor,Book
16176,The Red Queen: Sex and the Evolution of Human Nature,Matt Ridley,4.04,0060556579,9780060556570,eng,405,13491,506,2003-04-29,Harper Perennial (HarperCollins),Book
16177,The Sweet Potato Queens' Big-Ass Cookbook (and Financial Planner),Jill Conner Browne,4.02,060980877X,9780609808771,en-US,288,1958,142,2003-01-07,Three Rivers Press (CA),Book
16178,Dairy Queen (Dairy Queen  #1),Catherine Gilbert Murdock,3.74,0618683070,9780618683079,eng,275,25441,2241,2006-05-22,Houghton Mifflin,Book
16179,Sex with the Queen: 900 Years of Vile Kings  Virile Lovers  and Passionate Politics,Eleanor Herman,3.91,0060846739,9780060846732,en-US,336,3808,315,2006-04-11,William Morrow,Book
16180,The Boleyn Inheritance (The Plantagenet and Tudor Novels  #10),Philippa Gregory,3.87,0743272501,9780743272506,eng,518,68763,3394,2006-12-05,Atria Books,Book
16181,The Constant Princess (The Plantagenet and Tudor Novels  #6),Philippa Gregory,3.9,0743272498,9780743272490,eng,390,136931,3915,2006-09-06,Washington Square Press,Book
16182,The Favored Child (The Wideacre Trilogy  #2),Philippa Gregory,3.62,0743249305,9780743249300,eng,624,9643,451,2003-07-02,Washington Square Press,Book
16183,The Virgin's Lover (The Plantagenet and Tudor Novels  #13),Philippa Gregory,3.71,0743269268,9780743269261,eng,441,43749,1967,2005-09-07,Washington Square Press,Book
16184,Virgin Earth  (Tradescant  #2),Philippa Gregory,3.62,0743272536,9780743272537,en-US,661,4469,272,2006-04-05,Washington Square Press,Book
16185,The Wise Woman,Philippa Gregory,3.32,0006514642,9780006514640,eng,640,6774,529,2002-02-01,HarperCollins Publishers,Book
16186,Meridon (The Wideacre Trilogy  #3),Philippa Gregory,3.68,0743249313,9780743249317,eng,569,8842,380,2003-07-02,Washington Square Press,Book
16187,The Little House,Philippa Gregory,3.68,0006496431,9780006496434,eng,368,1910,237,1998-02-01,HarperCollins Publishers,Book
